Ergebnisart;Datum;Uhrzeit;Soll Wahlbezirke;Ist Wahlbezirke;Satzart;Schlüsselnummer;Name;A - Wahlberechtigte;B - Wähler;E - Ungültige Zweitstimmen;F - Gültige Zweitstimmen;F01 - DIE LINKE;F02 - CDU;F03 - SPD;F04 - FDP;F05 - GRÜNE;F06 - PIRATEN;F07 - NPD;F08 - MLPD;F09 - AfD;F10 - pro Deutschland;F11 - FREIE WÄHLER;F12 - ÖDP;C - Ungültige Erststimmen;D - Gültige Erststimmen;D01 - DIE LINKE;D02 - CDU;D03 - SPD;D04 - FDP;D05 - GRÜNE;D06 - PIRATEN;D07 - NPD;D08 - MLPD;D09 - AfD;D11 - FREIE WÄHLER;D13 - Tierschutzpartei;D14 - Einzelbewerber;
V;22.09.2013;21:19;1;1;GEM;15083275;Gemeinde Harbke;1225;687;12;675;147;274;168;15;7;8;23;2;20;4;5;2;12;675;157;274;183;19;10;21;;;;10;;1;
V;22.09.2013;21:19;16;16;GEM;15083298;Gemeinde Hohe Börde;15365;8321;126;8195;1619;3704;1568;238;259;137;153;6;381;35;79;16;143;8178;1626;3900;1864;164;213;240;;;;144;;27;
V;22.09.2013;21:09;4;4;GEM;15083320;Gemeinde Hötensleben;3216;1625;27;1598;309;715;362;36;33;27;40;5;47;5;14;5;33;1592;301;661;395;45;28;41;;;;13;;108;
V;22.09.2013;20:49;4;4;GEM;15083323;Gemeinde Ingersleben;1228;768;15;753;118;399;120;23;20;16;22;0;30;0;4;1;19;749;116;418;153;13;12;24;;;;11;;2;
V;22.09.2013;22:35;1;1;GEM;15083355;Stadt Kroppenstedt;1239;618;18;600;106;300;92;32;14;10;15;0;20;2;9;0;20;598;100;317;106;33;10;19;;;;11;;2;
V;22.09.2013;20:18;2;2;GEM;15083361;Gemeinde Loitsche-Heinrichsberg;829;487;15;472;100;235;76;13;7;4;9;0;20;3;5;0;14;473;97;257;85;7;12;7;;;;7;;1;
V;22.09.2013;22:35;9;9;GEM;15083390;Gemeinde Niedere Börde;6058;3548;62;3486;712;1647;591;88;96;64;66;7;157;15;38;5;67;3481;698;1729;748;63;75;96;;;;54;;18;
V;22.09.2013;21:39;28;28;GEM;15083411;Stadt Oebisfelde-Weferlingen;11638;6632;120;6512;1284;2781;1398;148;195;177;187;8;251;22;50;11;144;6488;1302;2852;1589;107;164;352;;;;105;;17;
V;22.09.2013;21:19;21;21;GEM;15083415;Stadt Oschersleben (Bode);17354;8041;158;7883;1993;3114;1587;226;211;133;200;10;262;27;102;18;188;7853;1983;3135;1813;302;175;226;;;;175;;44;
V;22.09.2013;20:39;1;1;GEM;15083440;Gemeinde Rogätz;1830;1034;21;1013;197;478;171;26;42;16;23;0;41;3;13;3;26;1008;173;491;247;22;22;26;;;;24;;3;
V;22.09.2013;21:19;3;3;GEM;15083485;Gemeinde Sommersdorf;1216;655;14;641;145;271;120;13;19;9;26;1;22;2;13;0;17;638;152;270;142;8;21;22;;;;21;;2;
V;22.09.2013;20:49;8;8;GEM;15083490;Gemeinde Sülzetal;7689;4389;75;4314;863;1909;817;152;123;69;92;2;187;16;75;9;103;4286;823;1954;907;258;106;114;;;;112;;12;
V;22.09.2013;20:18;1;1;GEM;15083495;Gemeinde Süplingen;811;486;4;482;121;206;90;12;6;4;6;1;23;2;9;2;7;479;111;216;109;7;7;15;;;;11;;3;
V;22.09.2013;20:18;1;1;GEM;15083505;Gemeinde Ummendorf;837;452;9;443;98;189;88;11;21;8;9;1;16;1;1;0;11;441;101;185;96;18;22;15;;;;2;;2;
V;22.09.2013;21:19;2;2;GEM;15083515;Gemeinde Völpke;1186;614;19;595;124;255;128;8;26;16;15;0;16;2;5;0;16;598;128;261;148;12;12;20;;;;12;;5;
V;22.09.2013;21:00;16;16;GEM;15083531;Stadt Wanzleben-Börde;12603;6637;114;6523;1442;2808;1205;269;159;97;170;5;269;16;72;11;136;6501;1446;2775;1330;487;128;188;;;;113;;34;
V;22.09.2013;21:19;1;1;GEM;15083535;Gemeinde Wefensleben;1586;827;13;814;228;307;174;14;18;12;34;1;18;2;6;0;13;814;247;324;168;16;24;18;;;;14;;3;
V;22.09.2013;20:18;4;4;GEM;15083557;Gemeinde Westheide;1477;854;17;837;143;398;130;27;32;22;16;2;55;2;9;1;20;834;141;428;172;18;22;37;;;;15;;1;
V;22.09.2013;21:00;9;9;GEM;15083565;Stadt Wolmirstedt;9821;5183;86;5097;1061;2305;1020;120;165;82;78;7;202;17;36;4;104;5079;953;2310;1361;70;192;105;;;;77;;11;
V;22.09.2013;20:18;2;2;GEM;15083580;Gemeinde Zielitz;1583;924;15;909;204;405;158;20;21;22;20;0;42;6;11;0;20;904;182;398;240;18;16;36;;;;11;;3;
